Row,Col,Well,Name,Type,pred_label,MaxEx,MaxRFU,MaxEm,MaxRFU,ObservedStokesShift
A,1,A01,Aquamarine_001,Base,57.448524,436,7228788,484,24385016,48
A,2,A02,avGFP_007,Opt,86.70026,394,9539117,510,53737748,116
A,3,A03,Citrine2_002,Opt,84.69716,396,5191836,520,18112044,124
A,4,A04,GFPmut2_001,Base,24.09724,480,10303531,508,10016840,28
A,5,A05,mClover3_003,Opt,19.530449,504,15671856,520,2843255,16
A,6,A06,mGold_002,Opt,24.566824,390,862382,486,3125059,96
A,7,A07,mTurquoise2_002,Opt,88.035065,398,1918702,506,9755809,108
A,8,A08,SGFP2_001,Base,15.554981,498,13507384,512,27709838,14
A,9,A09,SYFP2_001,Base,14.846407,514,84353528,530,3002488,16
A,10,A10,Topaz_002,Opt,89.36277,406,4324202,526,13796881,120
A,11,A11,Venus_002,Opt,81.65169,388,664927,484,2714514,96
B,1,B01,Aquamarine_002,Opt,89.78497,390,783804,488,3250682,98
B,2,B02,avGFP_008,Opt,86.564415,396,4078158,510,22622512,114
B,3,B03,Clover_001,Base,17.219091,504,34167872,520,11017540,16
B,4,B04,GFPmut2_002,Opt,42.404495,388,753411,484,3317167,96
B,5,B05,mEGFP_001,Base,16.918987,486,1680363,502,4058505,16
B,6,B06,moxGFP_001,Base,22.575031,484,15246335,510,12910128,26
B,7,B07,muGFP_001,Base,18.891008,484,18425194,506,8675551,22
B,8,B08,SGFP2_002,Opt,86.61186,394,7309462,512,41133676,118
B,9,B09,SYFP2_002,Opt,85.515,508,4968354,526,6911882,18
B,10,B10,Topaz_003,Opt,15.582071,392,696851,482,3111142,90
B,11,B11,WasCFP_001,Base,33.63477,404,905892,488,3789142,84
C,1,C01,avGFP,Base,86.42746,396,3818621,510,21304386,114
C,2,C02,avGFP_009,Opt,86.62216,398,10879265,510,62410108,112
C,3,C03,Clover_002,Opt,82.55067,394,1927990,516,7192936,122
C,4,C04,mCerulean3_001,Base,55.85608,434,5614378,484,19441828,50
C,5,C05,mEGFP_002,Opt,88.19823,396,931511,486,3480663,90
C,6,C06,moxGFP_002,Opt,89.341385,390,4722802,508,26030776,118
C,7,C07,muGFP_002,Opt,87.02584,394,813235,490,3627674,96
C,8,C08,SGFP2(206A)_001,Base,16.941002,498,16784178,512,33673508,14
C,9,C09,T-Sapphire_001,Base,98.33661,394,6726030,512,35772548,118
