DNA Well,CFPS Well,Variant,DNA Conc. (ng/μL),549/589 DsRed,554/594 mScarlet,RFUS,RFUs/DNA
E11,E11,mScarlet_038,11.7,5360,2333,2333,12
F11,F11,mScarlet_039,7.91,3609,2776,2776,22
C10,C10,mScarlet_028,11.05,3815,3083,3083,17
G11,G11,mScarlet_040,7.95,4371,3178,3178,25
G10,G10,mScarlet_032,11.29,6110,3738,3738,21
B04,B04,DsRed.M1_026,9.53,3792,3631,3792,25
F05,F05,DsRed.M1_038,6.11,3992,3533,3992,41
F04,F04,DsRed.M1_030,7.99,4045,3945,4045,32
H05,H05,DsRed.M1_040,7.95,4073,7735,4073,32
E05,E05,DsRed.M1_037,8.09,4196,5027,4196,32
G03,G03,DsRed.M1_023,7.72,4691,4373,4691,38
G05,G05,DsRed.M1_039,5.33,5479,5364,5479,64
D04,D04,DsRed.M1_028,8.76,5617,5234,5617,40
F02,F02,DsRed.M1_014,9.45,5863,5581,5863,39
H04,H04,DsRed.M1_032,8.21,6067,6648,6067,46
B05,B05,DsRed.M1_034,10.08,6081,4382,6081,38
B02,B02,DsRed.M1_010,9.13,6091,4389,6091,42
E03,E03,DsRed.M1_021,4.62,6852,6322,6852,93
D05,D05,DsRed.M1_036,8.63,6885,5382,6885,50
B03,B03,DsRed.M1_018,10.36,6958,8712,6958,42
A05,A05,DsRed.M1_033,8.98,7117,4832,7117,50
E04,E04,DsRed.M1_029,7.96,7245,4033,7245,57
G02,G02,DsRed.M1_015,8.54,7332,3628,7332,54
E02,E02,DsRed.M1_013,6.95,7694,5357,7694,69
C05,C05,DsRed.M1_035,8.11,7812,5910,7812,60
H03,H03,DsRed.M1_024,8.87,7895,9039,7895,56
A04,A04,DsRed.M1_025,9.11,8014,4910,8014,55
A03,A03,DsRed.M1_017,9.1,8106,8144,8106,56
C02,C02,DsRed.M1_011,10.25,8639,6213,8639,53
F03,F03,DsRed.M1_022,8.23,8700,8601,8700,66
H02,H02,DsRed.M1_016,9.34,9464,8730,9464,63
D03,D03,DsRed.M1_020,9.8,9485,7739,9485,60
C03,C03,DsRed.M1_019,8.71,9507,6660,9507,68
E06,E06,DsRed.M1_009,9.94,9727,8285,9727,61
G04,G04,DsRed.M1_031,9.18,10278,7724,10278,70
C04,C04,DsRed.M1_027,9.87,10813,10775,10813,68
G12,G12,mScarlet_041,8.28,15046,13464,13464,102
D11,D11,mScarlet_037,10.53,9969,14104,14104,84
D10,D10,mScarlet_029,9.94,13507,15562,15562,98
A09,A09,mScarlet_018,7.68,16092,16098,16098,131
E12,A11,mScarlet_034,9.3,12638,16509,16509,111
F12,F12,mScarlet_042,6.05,12480,17721,17721,183
E09,E09,mScarlet_022,151.5,11100,17932,17932,7
C09,C09,mScarlet_020,8.07,15343,19289,19289,149
H10,H10,mScarlet_033,10.22,11953,20195,20195,123
E08,E08,mScarlet_014,10.32,17369,21117,21117,128
B11,B11,mScarlet_035,8.89,20907,21656,21656,152
F08,F08,mScarlet_015,8.06,11367,22334,22334,173
A10,A10,mScarlet_026,9.24,19524,22838,22838,154
C11,C11,mScarlet_036,10.53,15427,23733,23733,141
B10,B10,mScarlet_027,6.99,22147,23765,23765,212
G09,G09,mScarlet_024,9.89,22236,23933,23933,151
C07,C07,mScarlet_004,8.78,23753,24429,24429,174
B08,B08,mScarlet_011,7.77,19254,25087,25087,202
B09,B09,mScarlet_019,7.77,17232,25347,25347,204
F10,F10,mScarlet_031,8.12,14584,25439,25439,196
D09,D09,mScarlet_021,8.81,22499,25537,25537,181
D02,D02,DsRed.M1_012,11.02,26043,22941,26043,148
H08,H08,mScarlet_017,7.24,19522,26219,26219,226
F09,F09,mScarlet_023,8.26,27573,27096,27096,205
E10,E10,mScarlet_030,10.2,21761,27694,27694,170
A08,A08,mScarlet_010,9.54,22724,29927,29927,196
H09,H09,mScarlet_025,8.74,23614,30650,30650,219
G08,G08,mScarlet_016,10.63,21511,31827,31827,187
D08,D08,mScarlet_013,8.4,30487,33969,33969,253
B06,B06,DsRed.M1_042,9.05,47904,46507,47904,331
C08,C08,mScarlet_012,8.55,35543,55064,55064,403
H07,H07,mScarlet_009,9.5,59233,80042,80042,527
A06,A06,DsRed.M1_041,10.65,1239666,1476675,1239666,7275
D06,B01,DsRed.M1_002,9.4,4590216,4725770,4590216,30520
F06,H01,DsRed.M1_008,7.11,7966832,8390011,7966832,70032
G06,G06,DsRed.M1_007,7.46,8550887,8950782,8550887,71639
D01,D01,DsRed.M1_004,12.74,11634661,12154408,11634661,57077
F01,F01,DsRed.M1_006,7.81,12457753,13047665,12457753,99694
E01,E01,DsRed.M1_005,8.37,12857213,13294533,12857213,96007
C01,C01,DsRed.M1_003,11.25,13371948,14012967,13371948,74289
C06,C06,DsRed.M1_001,11.09,13482404,14059093,13482404,75983
B07,B07,mScarlet_003,9.3,34555117,41386799,41386799,278137
F07,F07,mScarlet_007,9.52,95805048,113759555,113759555,746846
D07,D07,mScarlet_005,9.32,119196941,141340891,141340891,947833
G07,G07,mScarlet_008,9.43,121330027,144138544,144138544,955319
A07,A07,mScarlet_002,8.64,131181344,155869216,155869216,1127526
E07,E07,mScarlet_006,10.06,135437944,161002064,161002064,1000261
A01,,,,,,,
A02,,,,,,,
A11,,,,,,,
A12,,,,,,,
B01,,,,,,,
B12,B12,NTC,0,5442,3629,,
C12,C12,NTC,0,5174,5562,,
D12,,,,,,,
G01,,,,,,,
H01,,,,,,,
H06,H06,NTC,0,4366,4056,,
H11,,,,,,,
H12,,,,,,,
