well,Sample,ReadWavelengths,RFU
D7,DsRed.T4_001,546/586,103105824
A4,DsRed.M1-strep_001,552/592,8922821
E3,DsRed.M1_044,552/592,3371261
B12,DsRed.M1_053,552/592,2349537
A12,DsRed.M1_063,552/592,2064054
B4,DsRed.M1_056,552/592,1988133
B9,DsRed.M1_054,552/592,1667064
E12,mRouge_001,597/637,500933
G7,DsRed.M1_058,552/592,128725
D12,DsRed.M1_059,552/592,61136
F3,DsRed.M1_045,552/592,41503
A2,mRouge_002,597/637,19186
C5,mRouge_003,597/637,16953
F5,DsRed.M1_055,552/592,15545
D8,DsRed.T4_003,546/586,13456
A9,mRouge_004,597/637,13257
D11,DsRed.M1_052,552/592,11264
B7,DsRed.T4_011,546/586,10692
C12,AdRed_025,572/612,10195
E2,DsRed.T4_022,546/586,8668
E4,DsRed.M1_050,552/592,8250
E1,DsRed.T4_014,546/586,8207
F12,DsRed.T4_010,546/586,7944
G10,DsRed.M1_061,552/592,7582
B11,DsRed.M1_067,552/592,7276
F4,DsRed.M1_062,552/592,7263
G11,DsRed.T4_020,546/586,7185
G12,DsRed.T4_013,546/586,7161
F8,AdRed_006,572/612,6940
D10,DsRed.T4_006,546/586,6907
A11,DsRed.T4_004,546/586,6446
F10,DsRed.T4_021,546/586,6415
E6,DsRed.T4_018,546/586,6380
D6,DsRed.T4_012,546/586,6160
A3,AdRed_017,572/612,6105
G6,DsRed.M1_047,552/592,6080
G4,DsRed.T4_017,546/586,5922
A10,mRouge_013,597/637,5841
F11,DsRed.M1_068,552/592,5772
B8,DsRed.T4_002,546/586,5456
G1,DsRed.T4_016,546/586,5450
F6,DsRed.M1_046,552/592,5403
H12,DsRed.T4_009,546/586,5198
A8,AdRed_021,572/612,5014
F7,DsRed.T4_019,546/586,4957
G8,DsRed.T4_015,546/586,4687
C4,AdRed_022,572/612,4586
E5,DsRed.M1_048,552/592,4546
H5,mRouge_019,597/637,4253
D4,DsRed.T4_007,546/586,3946
B10,DsRed.T4_006,546/586,3926
C1,DSRed.M1_064,552/592,3923
G5,DsRed.M1_066,552/592,3910
H11,AdRed_003,572/612,3907
E8,AdRed_007,572/612,3839
G9,DsRed.T4_023,546/586,3721
B1,AdRed_009,572/612,3710
D2,mRouge_009,597/637,3676
D5,DsRed.M1_049,552/592,3628
C7,AdRed_015,572/612,3486
H2,DsRed.M1_043,552/592,3281
C6,mRouge_016,597/637,3134
A7,AdRed_019,572/612,3103
B6,AdRed_001,572/612,3058
H1,DsRed.T4_005,546/586,2965
F9,DsRed.M1_060,552/592,2699
E7,AdRed_024,572/612,2689
H10,AdRed_026,572/612,2671
F1,mRouge_007,597/637,2649
A1,AdRed_002,572/612,2629
H9,mRouge_015,597/637,2629
H3,mRouge_020,597/637,2623
E10,mRouge_008,597/637,2622
C3,mRouge_012,597/637,2618
D1,mRouge_018,597/637,2568
D9,DsRed.M1_051,552/592,2415
B3,AdRed_013,572/612,2283
C2,AdRed_018,572/612,2280
H7,AdRed_010,572/612,2279
G3,DsRed.M1_057,552/592,2116
A5,mRouge_017,597/637,2086
E9,AdRed_004,572/612,1922
C10,AdRed_008,572/612,1898
B2,AdRed_014,572/612,1890
G2,DsRed.M1_065,552/592,1787
H6,mRouge_011,597/637,1570
H8,mRouge_014,597/637,1546
C8,AdRed_016,572/612,1543
E11,mRouge_010,597/637,1542
A6,AdRed_011,572/612,1540
C9,AdRed_023,572/612,1505
C11,AdRed_012,572/612,1150
H4,AdRed_020,572/612,1136
D3,AdRed_005,572/612,1116
F2,mRouge_006,597/637,513
B5,mRouge_005,597/637,0
