Plate,Row,Col,Well,Name,MaxEx,MaxRFU,MaxEm,MaxRFU,ObservedStokesShift
2a,A,1,A01,Aquamarine_001,432,6179868,500,25144590,68
2a,A,2,A02,avGFP_003_A,,,,,
2a,A,3,A03,avGFP_005_C,394,3765717,512,19900286,118
2a,A,4,A04,avGFP_008_A,,,,,
2a,A,5,A05,avGFP_011,396,22814706,510,131499464,114
2a,A,6,A06,Citrine2_001,508,40233828,526,21414040,18
2a,A,7,A07,Clover_003,,,,,
2a,A,8,A08,EGFP_002_B,,,,,
2a,A,9,A09,GFPmut2_003,,,,,
2a,A,10,A10,mCerulean3_002_B,,,,,
2a,A,11,A11,mClover3_002_B,,,,,
2a,A,12,A12,moxGFP_001,484,13695491,512,53723700,28
2b,A,1,A01,mT-Sapphire_001,392,1537283,512,7185660,120
2b,A,2,A02,mTurquoise_002_A,,,,,
2b,A,3,A03,muGFP_002_A,,,,,
2b,A,4,A04,oxGFP_001,484,6470436,510,5989182,26
2b,A,5,A05,SGFP2_002_B,394,5433566,510,31012686,116
2b,A,6,A06,SPOON_on_001,508,16968798,524,3327979,16
2b,A,7,A07,T-Sapphire_003,394,3002348,512,14834283,118
2b,A,8,A08,TagGFP_002_A,,,,,
2b,A,9,A09,Topaz_003_A,,,,,
2b,A,10,A10,usGFP_005,,,,,
2b,A,11,A11,,,,,,
2b,A,12,A12,,,,,,
2a,B,1,B01,Aquamarine_002,,,,,
2a,B,2,B02,avGFP_003_B,,,,,
2a,B,3,B03,avGFP_006,394,8065050,510,45652372,116
2a,B,4,B04,avGFP_008_B,,,,,
2a,B,5,B05,avGFP_011_A,388,1300183,482,4978842,94
2a,B,6,B06,Citrine2_002,396,3721093,522,11584148,126
2a,B,7,B07,Clover_003_A,,,,,
2a,B,8,B08,EGFP_003,486,5444455,512,19951346,26
2a,B,9,B09,GFPmut3_001,,,,,
2a,B,10,B10,mCitrine_001,514,18940232,530,5857816,16
2a,B,11,B11,mEGFP_001,486,2901873,512,10840623,26
2a,B,12,B12,moxGFP_002,390,3533483,508,19446746,118
2b,B,1,B01,mT-Sapphire_002,,,,,
2b,B,2,B02,mTurquoise2_001,,,,,
2b,B,3,B03,muGFP_002_B,,,,,
2b,B,4,B04,oxGFP_002,388,524565,482,2109104,94
2b,B,5,B05,SGFP2-206A_001,498,12978571,512,24561840,14
2b,B,6,B06,SPOON_on_002,508,3538773,484,2219744,CHECK
2b,B,7,B07,T-Sapphire_003_A,,,,,
2b,B,8,B08,TagGFP_002_B,388,527755,482,2303178,94
2b,B,9,B09,Turquoise-GL_001,428,942315,484,3709071,56
2b,B,10,B10,Venus_001,514,35412536,482,2167867,CHECK
2b,B,11,B11,,,,,,
2b,B,12,B12,,,,,,
2a,C,1,C01,Aquamarine_002_A,,,,,
2a,C,2,C02,avGFP_004,394,5524934,510,31177680,116
2a,C,3,C03,avGFP_006_A,,,,,
2a,C,4,C04,avGFP_009,396,8509694,510,48230788,114
2a,C,5,C05,avGFP_011_B,388,1248673,480,4936034,92
2a,C,6,C06,Citrine2_002_A,,,,,
2a,C,7,C07,Clover_003_B,,,,,
2a,C,8,C08,Emerald_001,482,21903624,510,86119512,28
2a,C,9,C09,GFPmut3_002,,,,,
2a,C,10,C10,mCitrine_002,,,,,
2a,C,11,C11,mEGFP_002,,,,,
2a,C,12,C12,moxGFP_002_A,,,,,
2b,C,1,C01,mT-Sapphire_002_A,,,,,
2b,C,2,C02,mTurquoise2_002,398,1946794,506,9969735,108
2b,C,3,C03,muGFP_002_C,,,,,
2b,C,4,C04,SGFP1_001,498,5237796,512,7836330,14
2b,C,5,C05,SGFP2-206A_002,,,,,
2b,C,6,C06,SYFP2_001,514,87849224,480,2098523,CHECK
2b,C,7,C07,T-Sapphire_003_B,,,,,
2b,C,8,C08,TagGFP_002_C,,,,,
2b,C,9,C09,Turquoise-GL_002,398,707233,506,2449492,108
2b,C,10,C10,Venus_002,388,576775,484,2227968,96
2b,C,11,C11,,,,,,
2b,C,12,C12,,,,,,
2a,D,1,D01,avGFP_001,396,4149815,512,23279248,116
2a,D,2,D02,avGFP_004_A,,,,,
2a,D,3,D03,avGFP_006_B,,,,,
2a,D,4,D04,avGFP_009_A,,,,,
2a,D,5,D05,avGFP_012,388,1242198,482,4900020,94
2a,D,6,D06,Citrine2_002_B,,,,,
2a,D,7,D07,Clover_003_C,,,,,
2a,D,8,D08,Emerald_002,468,10624755,508,42181764,40
2a,D,9,D09,mCerulean2_001,,,,,
2a,D,10,D10,mCitrine_002_A,,,,,
2a,D,11,D11,mEGFP_002_A,,,,,
2a,D,12,D12,moxGFP_002_B,,,,,
